91901,7.318,4.718e+05,81379,213
91902,5.731,5.177e+05,88926,126
91903,5.88,0,0,1
91905,6.4938,2.76e+05,63722,8
91906,5.6727,1.797e+05,58353,9
91909,3.4333,0,0,6
91910,6.3905,3.483e+05,54640,117
91911,14.715,3.001e+05,48891,80
91913,4.7643,4.003e+05,84741,67
91914,6.9713,4.733e+05,1.1034e+05,56
91915,5.9375,3.759e+05,99606,39
91916,6.0933,2.594e+05,61296,13
91917,4.9567,1.821e+05,66932,3
91931,6.9,13900,24032,1
91932,3.462,3.426e+05,48117,58
91934,9.6,1.461e+05,45625,1
91935,7.9237,5.043e+05,93092,130
91941,5.6911,4.977e+05,71661,247
91942,4.2438,3.576e+05,52354,75
91944,6.58,0,0,1
91945,4.5327,2.951e+05,52376,68
91948,1.44,0,0,1
91950,3.4824,2.749e+05,39533,37
91962,4.8997,3.472e+05,1.004e+05,6
91963,7.0288,1.306e+05,39622,5
91977,4.7384,3.067e+05,60124,151
91978,4.6045,3.454e+05,66483,32
92003,9.0123,5.579e+05,69205,51
92004,5.6869,1.869e+05,36500,47
92007,5.0126,8.047e+05,93889,45
92008,5.0725,6.099e+05,66000,87
92009,5.5499,6.643e+05,1.0221e+05,224
92010,4.7045,5.067e+05,95806,47
92011,5.7121,6.728e+05,1.0203e+05,91
92014,5.9858,1e+06,1.1478e+05,102
92019,6.365,4.141e+05,74797,237
92020,6.3878,4.049e+05,49851,178
92021,6.4459,3.009e+05,50035,247
92023,7.5413,0,0,6
92024,6.0379,7.088e+05,92402,261
92025,6.6746,4.071e+05,45433,222
92026,6.2377,3.677e+05,53820,229
92027,5.7131,3.202e+05,53473,201
92028,7.0164,4.275e+05,57223,392
92029,6.5359,4.802e+05,68108,229
92036,4.7907,2.936e+05,51667,26
92037,6.3033,1e+06,95306,207
92040,5.8077,3.401e+05,64787,252
92049,13.34,0,0,1
92054,4.7118,4.064e+05,50568,57
92055,26.29,0,48147,3
92056,7.8514,3.557e+05,63728,105
92057,4.3592,3.469e+05,64976,142
92058,3.6821,2.789e+05,46655,15
92059,6.8082,3.022e+05,66417,20
92061,8.2213,3.302e+05,68333,22
92064,7.3849,5.022e+05,96297,543
92065,6.6156,3.852e+05,77361,432
92066,3.28,4.2e+05,43295,2
92067,11.205,1e+06,1.1994e+05,87
92069,5.8993,3.768e+05,52457,104
92070,7.3769,3.586e+05,43333,8
92071,7.1212,3.363e+05,74393,227
92075,5.3902,9.635e+05,90833,82
92078,6.4661,3.846e+05,55530,140
92081,7.3198,3.92e+05,54565,83
92082,7.8476,4.428e+05,79348,264
92083,5.1206,2.955e+05,46073,50
